strain	transcript	ens_gene	ext_gene	expression	pSTR	str_genotype	genotype	STRallele
NIC261	R07B7.2c.1	WBGene00011087	R07B7.2	3.27870442028688	STR_24584	STR length	31	REF
NIC266	R07B7.2c.1	WBGene00011087	R07B7.2	3.423437885469	STR_24584	STR length	31	REF
NIC267	R07B7.2c.1	WBGene00011087	R07B7.2	3.34345266309128	STR_24584	STR length	31	REF
NIC268	R07B7.2c.1	WBGene00011087	R07B7.2	2.56657360298862	STR_24584	STR length	31	REF
NIC271	R07B7.2c.1	WBGene00011087	R07B7.2	3.49622399890783	STR_24584	STR length	31	REF
NIC274	R07B7.2c.1	WBGene00011087	R07B7.2	2.88791027278188	STR_24584	STR length	31	REF
NIC275	R07B7.2c.1	WBGene00011087	R07B7.2	3.03832546099126	STR_24584	STR length	31	REF
NIC276	R07B7.2c.1	WBGene00011087	R07B7.2	3.32167082771267	STR_24584	STR length	31	REF
NIC277	R07B7.2c.1	WBGene00011087	R07B7.2	3.73980863620028	STR_24584	STR length	31	REF
NIC3	R07B7.2c.1	WBGene00011087	R07B7.2	3.51966344775482	STR_24584	STR length	31	REF
NIC511	R07B7.2c.1	WBGene00011087	R07B7.2	3.49772098881365	STR_24584	STR length	31	REF
NIC513	R07B7.2c.1	WBGene00011087	R07B7.2	2.83495915506073	STR_24584	STR length	31	REF
NIC514	R07B7.2c.1	WBGene00011087	R07B7.2	3.41810163598143	STR_24584	STR length	31	REF
NIC515	R07B7.2c.1	WBGene00011087	R07B7.2	3.55667880823456	STR_24584	STR length	31	REF
NIC523	R07B7.2c.1	WBGene00011087	R07B7.2	3.29788150893316	STR_24584	STR length	31	REF
NIC526	R07B7.2c.1	WBGene00011087	R07B7.2	3.30768888834936	STR_24584	STR length	31	REF
NIC527	R07B7.2c.1	WBGene00011087	R07B7.2	3.30971504726316	STR_24584	STR length	31	REF
NIC528	R07B7.2c.1	WBGene00011087	R07B7.2	3.13394088926565	STR_24584	STR length	31	REF
NIC529	R07B7.2c.1	WBGene00011087	R07B7.2	3.21415461020334	STR_24584	STR length	31	REF
PX179	R07B7.2c.1	WBGene00011087	R07B7.2	3.42795336978758	STR_24584	STR length	31	REF
QG556	R07B7.2c.1	WBGene00011087	R07B7.2	3.28655768738248	STR_24584	STR length	31	REF
QX1233	R07B7.2c.1	WBGene00011087	R07B7.2	3.33790615001869	STR_24584	STR length	31	REF
QX1791	R07B7.2c.1	WBGene00011087	R07B7.2	3.01597396234584	STR_24584	STR length	31	REF
QX1792	R07B7.2c.1	WBGene00011087	R07B7.2	3.39641568674566	STR_24584	STR length	31	REF
QX1794	R07B7.2c.1	WBGene00011087	R07B7.2	2.977237940816	STR_24584	STR length	31	REF
RC301	R07B7.2c.1	WBGene00011087	R07B7.2	3.26563686154092	STR_24584	STR length	31	REF
XZ1513	R07B7.2c.1	WBGene00011087	R07B7.2	3.45414068168297	STR_24584	STR length	31	REF
CB4856	R07B7.2c.1	WBGene00011087	R07B7.2	-0.752602923855363	STR_24584	STR length	34	ALT
CX11262	R07B7.2c.1	WBGene00011087	R07B7.2	-0.849237525287736	STR_24584	STR length	34	ALT
CX11314	R07B7.2c.1	WBGene00011087	R07B7.2	0.15652391910938	STR_24584	STR length	34	ALT
DL238	R07B7.2c.1	WBGene00011087	R07B7.2	0.0592505703941016	STR_24584	STR length	34	ALT
ECA348	R07B7.2c.1	WBGene00011087	R07B7.2	-0.831394351585806	STR_24584	STR length	34	ALT
ECA363	R07B7.2c.1	WBGene00011087	R07B7.2	-0.131837247284325	STR_24584	STR length	34	ALT
ECA372	R07B7.2c.1	WBGene00011087	R07B7.2	0.120099434825369	STR_24584	STR length	34	ALT
ECA592	R07B7.2c.1	WBGene00011087	R07B7.2	0.792288912358048	STR_24584	STR length	34	ALT
ECA703	R07B7.2c.1	WBGene00011087	R07B7.2	1.05296255050212	STR_24584	STR length	34	ALT
ECA710	R07B7.2c.1	WBGene00011087	R07B7.2	1.05160339607746	STR_24584	STR length	34	ALT
ECA738	R07B7.2c.1	WBGene00011087	R07B7.2	0.590291522033081	STR_24584	STR length	34	ALT
ECA812	R07B7.2c.1	WBGene00011087	R07B7.2	-0.753655350922301	STR_24584	STR length	34	ALT
JU1793	R07B7.2c.1	WBGene00011087	R07B7.2	0.792403610420368	STR_24584	STR length	34	ALT
JU2106	R07B7.2c.1	WBGene00011087	R07B7.2	-0.526740749817921	STR_24584	STR length	34	ALT
JU775	R07B7.2c.1	WBGene00011087	R07B7.2	0.390859218986931	STR_24584	STR length	34	ALT
NIC251	R07B7.2c.1	WBGene00011087	R07B7.2	-0.53290478797973	STR_24584	STR length	34	ALT
NIC258	R07B7.2c.1	WBGene00011087	R07B7.2	-0.801329498415196	STR_24584	STR length	34	ALT
NIC265	R07B7.2c.1	WBGene00011087	R07B7.2	-0.952514040815117	STR_24584	STR length	34	ALT
NIC501	R07B7.2c.1	WBGene00011087	R07B7.2	-0.275388080461608	STR_24584	STR length	34	ALT
PS2025	R07B7.2c.1	WBGene00011087	R07B7.2	-0.896244886719616	STR_24584	STR length	34	ALT
QX1793	R07B7.2c.1	WBGene00011087	R07B7.2	-0.761097188768317	STR_24584	STR length	34	ALT
WN2050	R07B7.2c.1	WBGene00011087	R07B7.2	-0.938554251346866	STR_24584	STR length	34	ALT
XZ1516	R07B7.2c.1	WBGene00011087	R07B7.2	-0.750332453110799	STR_24584	STR length	34	ALT
AB1	R07B7.2d.1	WBGene00011087	R07B7.2	3.67824080025459	STR_24584	STR length	31	REF
BRC20067	R07B7.2d.1	WBGene00011087	R07B7.2	3.37850159036771	STR_24584	STR length	31	REF
BRC20263	R07B7.2d.1	WBGene00011087	R07B7.2	3.73631739638192	STR_24584	STR length	31	REF
CB4852	R07B7.2d.1	WBGene00011087	R07B7.2	3.50497191816676	STR_24584	STR length	31	REF
CX11276	R07B7.2d.1	WBGene00011087	R07B7.2	3.21878988419913	STR_24584	STR length	31	REF
CX11285	R07B7.2d.1	WBGene00011087	R07B7.2	3.57745277126628	STR_24584	STR length	31	REF
CX11307	R07B7.2d.1	WBGene00011087	R07B7.2	3.29807381358667	STR_24584	STR length	31	REF
CX11315	R07B7.2d.1	WBGene00011087	R07B7.2	3.72463009938156	STR_24584	STR length	31	REF
DL200	R07B7.2d.1	WBGene00011087	R07B7.2	3.74574381284572	STR_24584	STR length	31	REF
DL226	R07B7.2d.1	WBGene00011087	R07B7.2	3.056677658688	STR_24584	STR length	31	REF
ECA189	R07B7.2d.1	WBGene00011087	R07B7.2	3.68381431274014	STR_24584	STR length	31	REF
CB4857	R07B7.2d.1	WBGene00011087	R07B7.2	3.48860134890139	STR_24584	STR length	31	REF
CB4858	R07B7.2d.1	WBGene00011087	R07B7.2	3.8799484974715	STR_24584	STR length	31	REF
ECA349	R07B7.2d.1	WBGene00011087	R07B7.2	3.41420449678764	STR_24584	STR length	31	REF
ECA705	R07B7.2d.1	WBGene00011087	R07B7.2	3.68064228616702	STR_24584	STR length	31	REF
ECA743	R07B7.2d.1	WBGene00011087	R07B7.2	3.45009496068341	STR_24584	STR length	31	REF
ECA777	R07B7.2d.1	WBGene00011087	R07B7.2	3.40374152936895	STR_24584	STR length	31	REF
ECA923	R07B7.2d.1	WBGene00011087	R07B7.2	3.40920271315226	STR_24584	STR length	31	REF
ED3012	R07B7.2d.1	WBGene00011087	R07B7.2	3.46601078247694	STR_24584	STR length	31	REF
ED3017	R07B7.2d.1	WBGene00011087	R07B7.2	3.55407175838471	STR_24584	STR length	31	REF
ED3040	R07B7.2d.1	WBGene00011087	R07B7.2	3.76243788477782	STR_24584	STR length	31	REF
ED3048	R07B7.2d.1	WBGene00011087	R07B7.2	3.77154807091355	STR_24584	STR length	31	REF
ED3049	R07B7.2d.1	WBGene00011087	R07B7.2	3.68397736161937	STR_24584	STR length	31	REF
ED3052	R07B7.2d.1	WBGene00011087	R07B7.2	3.58164759877596	STR_24584	STR length	31	REF
ED3073	R07B7.2d.1	WBGene00011087	R07B7.2	3.53036840421929	STR_24584	STR length	31	REF
ED3077	R07B7.2d.1	WBGene00011087	R07B7.2	3.54922699490459	STR_24584	STR length	31	REF
EG4724	R07B7.2d.1	WBGene00011087	R07B7.2	3.66254406277337	STR_24584	STR length	31	REF
GXW1	R07B7.2d.1	WBGene00011087	R07B7.2	3.24528909558597	STR_24584	STR length	31	REF
JT11398	R07B7.2d.1	WBGene00011087	R07B7.2	3.44359246358672	STR_24584	STR length	31	REF
JU1088	R07B7.2d.1	WBGene00011087	R07B7.2	3.48241702213474	STR_24584	STR length	31	REF
JU1172	R07B7.2d.1	WBGene00011087	R07B7.2	3.49991431592365	STR_24584	STR length	31	REF
JU1200	R07B7.2d.1	WBGene00011087	R07B7.2	3.01558016152093	STR_24584	STR length	31	REF
JU1212	R07B7.2d.1	WBGene00011087	R07B7.2	3.70016269010875	STR_24584	STR length	31	REF
JU1213	R07B7.2d.1	WBGene00011087	R07B7.2	3.37959117944973	STR_24584	STR length	31	REF
JU1246	R07B7.2d.1	WBGene00011087	R07B7.2	3.74204308894445	STR_24584	STR length	31	REF
JU1395	R07B7.2d.1	WBGene00011087	R07B7.2	3.62272477920529	STR_24584	STR length	31	REF
JU1409	R07B7.2d.1	WBGene00011087	R07B7.2	3.65768439344465	STR_24584	STR length	31	REF
JU1491	R07B7.2d.1	WBGene00011087	R07B7.2	3.06652858169654	STR_24584	STR length	31	REF
JU1530	R07B7.2d.1	WBGene00011087	R07B7.2	2.59536845428406	STR_24584	STR length	31	REF
JU1568	R07B7.2d.1	WBGene00011087	R07B7.2	3.31698868811088	STR_24584	STR length	31	REF
JU1581	R07B7.2d.1	WBGene00011087	R07B7.2	3.54796012188342	STR_24584	STR length	31	REF
JU1586	R07B7.2d.1	WBGene00011087	R07B7.2	3.48167891731629	STR_24584	STR length	31	REF
JU1652	R07B7.2d.1	WBGene00011087	R07B7.2	3.25276036489291	STR_24584	STR length	31	REF
JU1666	R07B7.2d.1	WBGene00011087	R07B7.2	3.56478104540541	STR_24584	STR length	31	REF
JU1792	R07B7.2d.1	WBGene00011087	R07B7.2	3.06379308824149	STR_24584	STR length	31	REF
JU1808	R07B7.2d.1	WBGene00011087	R07B7.2	3.25906064599374	STR_24584	STR length	31	REF
JU1896	R07B7.2d.1	WBGene00011087	R07B7.2	3.57242235356575	STR_24584	STR length	31	REF
JU1934	R07B7.2d.1	WBGene00011087	R07B7.2	3.58252866690934	STR_24584	STR length	31	REF
JU2007	R07B7.2d.1	WBGene00011087	R07B7.2	3.77782758055766	STR_24584	STR length	31	REF
JU2016	R07B7.2d.1	WBGene00011087	R07B7.2	3.63779854874989	STR_24584	STR length	31	REF
JU2017	R07B7.2d.1	WBGene00011087	R07B7.2	3.43815768474333	STR_24584	STR length	31	REF
JU2131	R07B7.2d.1	WBGene00011087	R07B7.2	3.56685698243572	STR_24584	STR length	31	REF
JU2141	R07B7.2d.1	WBGene00011087	R07B7.2	3.39513026235312	STR_24584	STR length	31	REF
JU2234	R07B7.2d.1	WBGene00011087	R07B7.2	4.20554833382989	STR_24584	STR length	31	REF
JU2250	R07B7.2d.1	WBGene00011087	R07B7.2	3.27175705414907	STR_24584	STR length	31	REF
JU2257	R07B7.2d.1	WBGene00011087	R07B7.2	3.40820690911421	STR_24584	STR length	31	REF
JU2464	R07B7.2d.1	WBGene00011087	R07B7.2	3.63114426169592	STR_24584	STR length	31	REF
JU2466	R07B7.2d.1	WBGene00011087	R07B7.2	3.50849167654818	STR_24584	STR length	31	REF
JU2478	R07B7.2d.1	WBGene00011087	R07B7.2	3.67617686353645	STR_24584	STR length	31	REF
JU2513	R07B7.2d.1	WBGene00011087	R07B7.2	3.41144596784529	STR_24584	STR length	31	REF
JU2522	R07B7.2d.1	WBGene00011087	R07B7.2	3.6746013150296	STR_24584	STR length	31	REF
JU2534	R07B7.2d.1	WBGene00011087	R07B7.2	3.48957960889119	STR_24584	STR length	31	REF
JU2565	R07B7.2d.1	WBGene00011087	R07B7.2	3.46199771209789	STR_24584	STR length	31	REF
JU2566	R07B7.2d.1	WBGene00011087	R07B7.2	3.47847026416934	STR_24584	STR length	31	REF
JU2570	R07B7.2d.1	WBGene00011087	R07B7.2	3.08850320821913	STR_24584	STR length	31	REF
JU2572	R07B7.2d.1	WBGene00011087	R07B7.2	3.3022100751132	STR_24584	STR length	31	REF
JU2575	R07B7.2d.1	WBGene00011087	R07B7.2	3.39528556315051	STR_24584	STR length	31	REF
JU2576	R07B7.2d.1	WBGene00011087	R07B7.2	3.35274208136503	STR_24584	STR length	31	REF
JU2578	R07B7.2d.1	WBGene00011087	R07B7.2	3.34144570049083	STR_24584	STR length	31	REF
JU2581	R07B7.2d.1	WBGene00011087	R07B7.2	3.19749954432201	STR_24584	STR length	31	REF
JU2586	R07B7.2d.1	WBGene00011087	R07B7.2	3.140450291749	STR_24584	STR length	31	REF
JU2592	R07B7.2d.1	WBGene00011087	R07B7.2	3.34174420838969	STR_24584	STR length	31	REF
JU2600	R07B7.2d.1	WBGene00011087	R07B7.2	3.43593052380922	STR_24584	STR length	31	REF
JU2610	R07B7.2d.1	WBGene00011087	R07B7.2	3.28559256501659	STR_24584	STR length	31	REF
JU2619	R07B7.2d.1	WBGene00011087	R07B7.2	3.47537795764818	STR_24584	STR length	31	REF
JU2811	R07B7.2d.1	WBGene00011087	R07B7.2	3.89606040840162	STR_24584	STR length	31	REF
JU2838	R07B7.2d.1	WBGene00011087	R07B7.2	3.2487976615669	STR_24584	STR length	31	REF
JU2841	R07B7.2d.1	WBGene00011087	R07B7.2	3.00421824023602	STR_24584	STR length	31	REF
JU2853	R07B7.2d.1	WBGene00011087	R07B7.2	2.97998381294255	STR_24584	STR length	31	REF
JU2862	R07B7.2d.1	WBGene00011087	R07B7.2	3.57948729315436	STR_24584	STR length	31	REF
JU2866	R07B7.2d.1	WBGene00011087	R07B7.2	3.41230403737421	STR_24584	STR length	31	REF
JU2879	R07B7.2d.1	WBGene00011087	R07B7.2	3.27841396377528	STR_24584	STR length	31	REF
JU2906	R07B7.2d.1	WBGene00011087	R07B7.2	3.46217472295181	STR_24584	STR length	31	REF
JU2907	R07B7.2d.1	WBGene00011087	R07B7.2	3.27556187640482	STR_24584	STR length	31	REF
JU311	R07B7.2d.1	WBGene00011087	R07B7.2	3.39321480641948	STR_24584	STR length	31	REF
JU3128	R07B7.2d.1	WBGene00011087	R07B7.2	3.34955040622969	STR_24584	STR length	31	REF
JU3132	R07B7.2d.1	WBGene00011087	R07B7.2	3.3534781016301	STR_24584	STR length	31	REF
JU3134	R07B7.2d.1	WBGene00011087	R07B7.2	3.69532396326931	STR_24584	STR length	31	REF
JU3144	R07B7.2d.1	WBGene00011087	R07B7.2	3.47686520981548	STR_24584	STR length	31	REF
JU346	R07B7.2d.1	WBGene00011087	R07B7.2	3.53252693982366	STR_24584	STR length	31	REF
JU360	R07B7.2d.1	WBGene00011087	R07B7.2	3.26159417941929	STR_24584	STR length	31	REF
JU394	R07B7.2d.1	WBGene00011087	R07B7.2	3.42041988987826	STR_24584	STR length	31	REF
JU397	R07B7.2d.1	WBGene00011087	R07B7.2	3.14497468866403	STR_24584	STR length	31	REF
JU406	R07B7.2d.1	WBGene00011087	R07B7.2	3.36594863509457	STR_24584	STR length	31	REF
JU440	R07B7.2d.1	WBGene00011087	R07B7.2	3.54078722384706	STR_24584	STR length	31	REF
JU642	R07B7.2d.1	WBGene00011087	R07B7.2	3.26465077756091	STR_24584	STR length	31	REF
JU778	R07B7.2d.1	WBGene00011087	R07B7.2	3.46074045030383	STR_24584	STR length	31	REF
JU782	R07B7.2d.1	WBGene00011087	R07B7.2	3.49604592758828	STR_24584	STR length	31	REF
JU792	R07B7.2d.1	WBGene00011087	R07B7.2	3.35530228920523	STR_24584	STR length	31	REF
JU830	R07B7.2d.1	WBGene00011087	R07B7.2	3.73976163925108	STR_24584	STR length	31	REF
JU847	R07B7.2d.1	WBGene00011087	R07B7.2	3.67915473326876	STR_24584	STR length	31	REF
KR314	R07B7.2d.1	WBGene00011087	R07B7.2	3.7131186652369	STR_24584	STR length	31	REF
LKC34	R07B7.2d.1	WBGene00011087	R07B7.2	3.46070146340542	STR_24584	STR length	31	REF
MY10	R07B7.2d.1	WBGene00011087	R07B7.2	3.62943438937211	STR_24584	STR length	31	REF
MY16	R07B7.2d.1	WBGene00011087	R07B7.2	3.5561820151258	STR_24584	STR length	31	REF
MY1	R07B7.2d.1	WBGene00011087	R07B7.2	3.41408090673871	STR_24584	STR length	31	REF
MY2147	R07B7.2d.1	WBGene00011087	R07B7.2	3.48965627038854	STR_24584	STR length	31	REF
MY2212	R07B7.2d.1	WBGene00011087	R07B7.2	3.26503421107073	STR_24584	STR length	31	REF
MY23	R07B7.2d.1	WBGene00011087	R07B7.2	3.58432891864626	STR_24584	STR length	31	REF
MY2573	R07B7.2d.1	WBGene00011087	R07B7.2	3.34500307820636	STR_24584	STR length	31	REF
MY2585	R07B7.2d.1	WBGene00011087	R07B7.2	3.56729474058614	STR_24584	STR length	31	REF
MY2713	R07B7.2d.1	WBGene00011087	R07B7.2	3.25377470513396	STR_24584	STR length	31	REF
MY518	R07B7.2d.1	WBGene00011087	R07B7.2	3.49735375900678	STR_24584	STR length	31	REF
MY795	R07B7.2d.1	WBGene00011087	R07B7.2	3.39357128919977	STR_24584	STR length	31	REF
MY920	R07B7.2d.1	WBGene00011087	R07B7.2	3.6100292066872	STR_24584	STR length	31	REF
N2	R07B7.2d.1	WBGene00011087	R07B7.2	3.06708375139529	STR_24584	STR length	31	REF
NIC166	R07B7.2d.1	WBGene00011087	R07B7.2	3.68939012959559	STR_24584	STR length	31	REF
NIC1	R07B7.2d.1	WBGene00011087	R07B7.2	3.44140280509407	STR_24584	STR length	31	REF
NIC207	R07B7.2d.1	WBGene00011087	R07B7.2	3.81473821495102	STR_24584	STR length	31	REF
NIC236	R07B7.2d.1	WBGene00011087	R07B7.2	3.60876918997	STR_24584	STR length	31	REF
NIC242	R07B7.2d.1	WBGene00011087	R07B7.2	3.35383889107973	STR_24584	STR length	31	REF
NIC252	R07B7.2d.1	WBGene00011087	R07B7.2	3.67542128676888	STR_24584	STR length	31	REF
NIC255	R07B7.2d.1	WBGene00011087	R07B7.2	3.48302388639536	STR_24584	STR length	31	REF
NIC256	R07B7.2d.1	WBGene00011087	R07B7.2	3.63824470369657	STR_24584	STR length	31	REF
NIC259	R07B7.2d.1	WBGene00011087	R07B7.2	3.37395082802221	STR_24584	STR length	31	REF
NIC260	R07B7.2d.1	WBGene00011087	R07B7.2	3.36180549340789	STR_24584	STR length	31	REF
NIC261	R07B7.2d.1	WBGene00011087	R07B7.2	3.55754736301628	STR_24584	STR length	31	REF
NIC266	R07B7.2d.1	WBGene00011087	R07B7.2	3.48113072866735	STR_24584	STR length	31	REF
NIC267	R07B7.2d.1	WBGene00011087	R07B7.2	3.31094374440471	STR_24584	STR length	31	REF
NIC268	R07B7.2d.1	WBGene00011087	R07B7.2	3.09426736758016	STR_24584	STR length	31	REF
NIC271	R07B7.2d.1	WBGene00011087	R07B7.2	3.29792191075497	STR_24584	STR length	31	REF
NIC274	R07B7.2d.1	WBGene00011087	R07B7.2	3.15778288616987	STR_24584	STR length	31	REF
NIC275	R07B7.2d.1	WBGene00011087	R07B7.2	3.53191208210115	STR_24584	STR length	31	REF
NIC276	R07B7.2d.1	WBGene00011087	R07B7.2	3.72045572897407	STR_24584	STR length	31	REF
NIC277	R07B7.2d.1	WBGene00011087	R07B7.2	3.81654649910501	STR_24584	STR length	31	REF
NIC3	R07B7.2d.1	WBGene00011087	R07B7.2	3.45042059204064	STR_24584	STR length	31	REF
NIC511	R07B7.2d.1	WBGene00011087	R07B7.2	3.67292535516362	STR_24584	STR length	31	REF
NIC513	R07B7.2d.1	WBGene00011087	R07B7.2	2.99127200786643	STR_24584	STR length	31	REF
NIC514	R07B7.2d.1	WBGene00011087	R07B7.2	3.29337488642108	STR_24584	STR length	31	REF
NIC515	R07B7.2d.1	WBGene00011087	R07B7.2	3.60912236474331	STR_24584	STR length	31	REF
NIC523	R07B7.2d.1	WBGene00011087	R07B7.2	3.33546856382153	STR_24584	STR length	31	REF
NIC526	R07B7.2d.1	WBGene00011087	R07B7.2	3.28725122507625	STR_24584	STR length	31	REF
NIC527	R07B7.2d.1	WBGene00011087	R07B7.2	3.08054216253125	STR_24584	STR length	31	REF
NIC528	R07B7.2d.1	WBGene00011087	R07B7.2	2.92449532275074	STR_24584	STR length	31	REF
NIC529	R07B7.2d.1	WBGene00011087	R07B7.2	3.29891571526721	STR_24584	STR length	31	REF
PX179	R07B7.2d.1	WBGene00011087	R07B7.2	3.39263577486762	STR_24584	STR length	31	REF
QG556	R07B7.2d.1	WBGene00011087	R07B7.2	3.22681594915238	STR_24584	STR length	31	REF
QX1233	R07B7.2d.1	WBGene00011087	R07B7.2	3.47083854630826	STR_24584	STR length	31	REF
QX1791	R07B7.2d.1	WBGene00011087	R07B7.2	3.25408761101026	STR_24584	STR length	31	REF
QX1792	R07B7.2d.1	WBGene00011087	R07B7.2	3.28349985921557	STR_24584	STR length	31	REF
QX1794	R07B7.2d.1	WBGene00011087	R07B7.2	3.62018692554227	STR_24584	STR length	31	REF
RC301	R07B7.2d.1	WBGene00011087	R07B7.2	3.39977885786082	STR_24584	STR length	31	REF
XZ1513	R07B7.2d.1	WBGene00011087	R07B7.2	3.32782527522062	STR_24584	STR length	31	REF
CB4856	R07B7.2d.1	WBGene00011087	R07B7.2	1.29658612860041	STR_24584	STR length	34	ALT
CX11262	R07B7.2d.1	WBGene00011087	R07B7.2	1.47043156670858	STR_24584	STR length	34	ALT
CX11314	R07B7.2d.1	WBGene00011087	R07B7.2	1.61278256958468	STR_24584	STR length	34	ALT
DL238	R07B7.2d.1	WBGene00011087	R07B7.2	1.08831583910351	STR_24584	STR length	34	ALT
ECA348	R07B7.2d.1	WBGene00011087	R07B7.2	2.32336220960045	STR_24584	STR length	34	ALT
ECA363	R07B7.2d.1	WBGene00011087	R07B7.2	0.653179787972866	STR_24584	STR length	34	ALT
ECA372	R07B7.2d.1	WBGene00011087	R07B7.2	2.18239258684928	STR_24584	STR length	34	ALT
ECA592	R07B7.2d.1	WBGene00011087	R07B7.2	0.941254095359717	STR_24584	STR length	34	ALT
ECA703	R07B7.2d.1	WBGene00011087	R07B7.2	0.0942768967374281	STR_24584	STR length	34	ALT
ECA710	R07B7.2d.1	WBGene00011087	R07B7.2	0.174626069071409	STR_24584	STR length	34	ALT
ECA738	R07B7.2d.1	WBGene00011087	R07B7.2	0.574703359243821	STR_24584	STR length	34	ALT
ECA812	R07B7.2d.1	WBGene00011087	R07B7.2	1.86476441209659	STR_24584	STR length	34	ALT
JU1793	R07B7.2d.1	WBGene00011087	R07B7.2	0.323125212292049	STR_24584	STR length	34	ALT
JU2106	R07B7.2d.1	WBGene00011087	R07B7.2	2.21205418892097	STR_24584	STR length	34	ALT
JU775	R07B7.2d.1	WBGene00011087	R07B7.2	0.798868287614757	STR_24584	STR length	34	ALT
NIC251	R07B7.2d.1	WBGene00011087	R07B7.2	1.60388788629394	STR_24584	STR length	34	ALT
NIC258	R07B7.2d.1	WBGene00011087	R07B7.2	1.46820583716973	STR_24584	STR length	34	ALT
NIC265	R07B7.2d.1	WBGene00011087	R07B7.2	2.0690746935944	STR_24584	STR length	34	ALT
NIC501	R07B7.2d.1	WBGene00011087	R07B7.2	1.96526407140282	STR_24584	STR length	34	ALT
PS2025	R07B7.2d.1	WBGene00011087	R07B7.2	2.01911306152001	STR_24584	STR length	34	ALT
QX1793	R07B7.2d.1	WBGene00011087	R07B7.2	1.84212925094325	STR_24584	STR length	34	ALT
WN2050	R07B7.2d.1	WBGene00011087	R07B7.2	1.54888729648989	STR_24584	STR length	34	ALT
XZ1516	R07B7.2d.1	WBGene00011087	R07B7.2	1.63954789420778	STR_24584	STR length	34	ALT
AB1	F01F1.7.1	WBGene00017162	ddx-23	6.02415226991492	STR_13795	STR length	30	REF
BRC20263	F01F1.7.1	WBGene00017162	ddx-23	5.98430010624167	STR_13795	STR length	30	REF
CB4852	F01F1.7.1	WBGene00017162	ddx-23	5.84389758389642	STR_13795	STR length	30	REF
CB4856	F01F1.7.1	WBGene00017162	ddx-23	5.98059643394669	STR_13795	STR length	30	REF
CX11254	F01F1.7.1	WBGene00017162	ddx-23	5.71678626984424	STR_13795	STR length	30	REF
CX11262	F01F1.7.1	WBGene00017162	ddx-23	5.85384157113085	STR_13795	STR length	30	REF
CX11264	F01F1.7.1	WBGene00017162	ddx-23	5.76888802989871	STR_13795	STR length	30	REF
CX11276	F01F1.7.1	WBGene00017162	ddx-23	5.90130139986064	STR_13795	STR length	30	REF
CX11292	F01F1.7.1	WBGene00017162	ddx-23	5.88227220693525	STR_13795	STR length	30	REF
CX11307	F01F1.7.1	WBGene00017162	ddx-23	5.8060735704146	STR_13795	STR length	30	REF
CX11314	F01F1.7.1	WBGene00017162	ddx-23	6.02736969673229	STR_13795	STR length	30	REF
DL200	F01F1.7.1	WBGene00017162	ddx-23	5.78121735284993	STR_13795	STR length	30	REF
DL226	F01F1.7.1	WBGene00017162	ddx-23	5.84709628978236	STR_13795	STR length	30	REF
ECA189	F01F1.7.1	WBGene00017162	ddx-23	5.63317751632158	STR_13795	STR length	30	REF
CB4855	F01F1.7.1	WBGene00017162	ddx-23	6.0901584106702	STR_13795	STR length	30	REF
CB4857	F01F1.7.1	WBGene00017162	ddx-23	5.81382820196385	STR_13795	STR length	30	REF
CB4858	F01F1.7.1	WBGene00017162	ddx-23	5.84770398439884	STR_13795	STR length	30	REF
PB306	F01F1.7.1	WBGene00017162	ddx-23	6.0181463043509	STR_13795	STR length	30	REF
ECA349	F01F1.7.1	WBGene00017162	ddx-23	5.79062567473152	STR_13795	STR length	30	REF
ECA363	F01F1.7.1	WBGene00017162	ddx-23	5.60272431956664	STR_13795	STR length	30	REF
ECA592	F01F1.7.1	WBGene00017162	ddx-23	5.93446832337104	STR_13795	STR length	30	REF
ECA594	F01F1.7.1	WBGene00017162	ddx-23	5.94981001538096	STR_13795	STR length	30	REF
ECA703	F01F1.7.1	WBGene00017162	ddx-23	5.77777491954142	STR_13795	STR length	30	REF
ECA705	F01F1.7.1	WBGene00017162	ddx-23	5.93277194168581	STR_13795	STR length	30	REF
ECA710	F01F1.7.1	WBGene00017162	ddx-23	5.838299253088	STR_13795	STR length	30	REF
ECA738	F01F1.7.1	WBGene00017162	ddx-23	5.93103947876293	STR_13795	STR length	30	REF
ECA743	F01F1.7.1	WBGene00017162	ddx-23	5.89621148310586	STR_13795	STR length	30	REF
ECA745	F01F1.7.1	WBGene00017162	ddx-23	5.65709526013135	STR_13795	STR length	30	REF
ECA777	F01F1.7.1	WBGene00017162	ddx-23	5.88029222714411	STR_13795	STR length	30	REF
ECA812	F01F1.7.1	WBGene00017162	ddx-23	5.7304589933375	STR_13795	STR length	30	REF
ECA923	F01F1.7.1	WBGene00017162	ddx-23	5.93414640774846	STR_13795	STR length	30	REF
ED3005	F01F1.7.1	WBGene00017162	ddx-23	5.9650002042176	STR_13795	STR length	30	REF
ED3017	F01F1.7.1	WBGene00017162	ddx-23	5.99558665030982	STR_13795	STR length	30	REF
ED3073	F01F1.7.1	WBGene00017162	ddx-23	5.82820491056061	STR_13795	STR length	30	REF
ED3077	F01F1.7.1	WBGene00017162	ddx-23	5.9222130504819	STR_13795	STR length	30	REF
EG4347	F01F1.7.1	WBGene00017162	ddx-23	5.92400507509728	STR_13795	STR length	30	REF
EG4724	F01F1.7.1	WBGene00017162	ddx-23	5.70732513465992	STR_13795	STR length	30	REF
EG4946	F01F1.7.1	WBGene00017162	ddx-23	5.93509083299951	STR_13795	STR length	30	REF
