transcript	pSTR	str_genotype	STR_var_exp	eQTL_Chr	eQTL_peak	eQTL_classification	eQTL_var_exp	LD	LD_level	nSTR_pheno
F02H6.4b	STR_20577	STR length	0.77	IV	14811150	Local eQTL	0.83	0.98	High LD	3
F02H6.4c	STR_20755	STR genotype	0.51	IV	14420820	Local eQTL	0.52	0.87	High LD	2
F02H6.4c	STR_20782	STR length	0.48	IV	14420820	Local eQTL	0.47	0.92	High LD	2
F02H6.6.1	STR_20719	STR genotype	0.41	IV	14811150	Local eQTL	0.55	0.84	High LD	4
F02H6.6.1	STR_20813	STR length	0.53	IV	14811150	Local eQTL	0.53	1	High LD	2
F07B7.11.1	STR_24132	STR genotype	0.21	V	8681460	Local eQTL	0.23	0.82	High LD	2
F07B7.11.1	STR_24132	STR length	0.21	V	8681460	Local eQTL	0.23	0.82	High LD	2
F07B7.4.1	STR_24132	STR genotype	0.21	V	8681460	Local eQTL	0.23	0.82	High LD	2
F07B7.4.1	STR_24132	STR length	0.21	V	8681460	Local eQTL	0.23	0.82	High LD	2
F07B7.5.1	STR_24091	STR genotype	0.2	V	9008821	Local eQTL	0.19	0.83	High LD	2
F07B7.5.1	STR_24091	STR length	0.19	V	9008821	Local eQTL	0.18	0.56	Moderate LD	2
F07C6.4c.2	STR_20090	STR genotype	0.24	IV	12827322	Local eQTL	0.21	0.76	High LD	2
F07C6.4c.2	STR_20090	STR length	0.24	IV	12827322	Local eQTL	0.19	0.69	Moderate LD	2
F07E5.12.1	STR_6271	STR genotype	0.49	II	1612208	Local eQTL	0.53	0.94	High LD	2
F07E5.12.1	STR_6271	STR length	0.49	II	1612208	Local eQTL	0.53	0.94	High LD	2
F07E5.8.1	STR_6061	STR genotype	0.22	II	2180709	Local eQTL	0.27	0.81	High LD	2
F07E5.8.1	STR_6061	STR length	0.22	II	2180709	Local eQTL	0.27	0.81	High LD	2
F07H5.4	STR_8185	STR genotype	0.22	II	7867402	Local eQTL	0.22	0.47	Moderate LD	2
F07H5.4	STR_8185	STR length	0.22	II	7867402	Local eQTL	0.22	0.47	Moderate LD	2
F08A7.1c.1	STR_21579	STR genotype	0.05	IV	16920466	Local eQTL	0.23	0.36	Moderate LD	4
F08A8.6.1	STR_4489	STR genotype	0.56	I	12959042	Local eQTL	0.52	0.43	Moderate LD	2
F08A8.6.1	STR_4539	STR length	0.55	I	12959042	Local eQTL	0.53	0.33	Moderate LD	2
F08B12.4b.1	STR_30059	STR genotype	0.16	X	10984415	Local eQTL	0.16	1	High LD	2
F08B12.4b.1	STR_30072	STR length	0.17	X	10984415	Local eQTL	0.2	0.56	Moderate LD	2
F08B4.3	STR_19300	STR genotype	0.71	IV	8752110	Local eQTL	0.71	1	High LD	2
F08B4.3	STR_19216	STR length	0.71	IV	8752110	Local eQTL	0.71	0.88	High LD	2
F08D12.2.1	STR_6637	STR genotype	0.6	II	2761400	Local eQTL	0.81	0.61	Moderate LD	2
F08D12.2.1	STR_6537	STR length	0.43	II	2761400	Local eQTL	0.82	0.58	Moderate LD	3
F08D12.6.1	STR_6624	STR genotype	0.18	II	2619532	Local eQTL	0.2	0.46	Moderate LD	2
F08D12.6.1	STR_6624	STR length	0.18	II	2619532	Local eQTL	0.2	0.45	Moderate LD	2
F08F8.10a.1	STR_13432	STR genotype	0.07	III	8065619	Local eQTL	0.39	0.18	Low LD	4
F08F8.10a.1	STR_13253	STR length	0.42	III	8065619	Local eQTL	0.41	0.75	High LD	2
F08F8.10b.1	STR_13253	STR genotype	0.9	III	7352397	Local eQTL	0.94	0.95	High LD	2
F08F8.10b.1	STR_13253	STR length	0.9	III	7352397	Local eQTL	0.94	0.95	High LD	2
F08F8.9a.1	STR_13495	STR genotype	0.63	III	7352397	Local eQTL	0.65	0.95	High LD	2
F08F8.9a.1	STR_13432	STR length	0.51	III	7352397	Local eQTL	0.64	0.31	Moderate LD	3
F08F8.9a.2	STR_13432	STR genotype	0.02	III	7529272	Local eQTL	0.3	0.72	High LD	4
F08F8.9a.2	STR_13502	STR length	0.3	III	7529272	Local eQTL	0.31	0.96	High LD	2
F08G2.2.1	STR_10056	STR genotype	0.47	II	13781476	Local eQTL	0.57	0.39	Moderate LD	3
F08G2.2.1	STR_10056	STR length	0.05	II	13781476	Local eQTL	0.57	0.39	Moderate LD	3
F08G2.3.1	STR_10030	STR genotype	0.37	II	13817664	Local eQTL	0.59	0.57	Moderate LD	2
F08G2.3.1	STR_10037	STR length	0.28	II	13817664	Local eQTL	0.46	0.62	Moderate LD	3
F08G5.5a.1	STR_19922	STR genotype	0.25	IV	12490472	Local eQTL	0.4	0.53	Moderate LD	2
F08G5.5a.1	STR_19955	STR length	0.27	IV	12490472	Local eQTL	0.39	0.72	High LD	2
F08H9.6.2	STR_24921	STR genotype	0.2	V	14068470	Local eQTL	0.2	1	High LD	2
F08H9.6.2	STR_24921	STR length	0.2	V	14068470	Local eQTL	0.2	1	High LD	2
F09B9.4.2	STR_29866	STR genotype	0.2	X	10020156	Local eQTL	0.18	0.67	Moderate LD	2
F09B9.4.2	STR_29866	STR length	0.2	X	10020156	Local eQTL	0.18	0.67	Moderate LD	2
F09C3.3.1	STR_5361	STR genotype	0.01	I	14307332	Local eQTL	0.23	0.34	Moderate LD	3
F09C3.3.1	STR_5361	STR length	0.13	I	14307332	Local eQTL	0.24	0.34	Moderate LD	3
F09C3.4.1	STR_5361	STR genotype	0.03	I	14307332	Local eQTL	0.58	0.34	Moderate LD	3
F09C3.4.1	STR_5361	STR length	0.28	I	14307332	Local eQTL	0.59	0.34	Moderate LD	3
F09C6.12.1	STR_25730	STR genotype	0.2	V	17762580	Local eQTL	0.16	0.54	Moderate LD	2
F09C6.12.1	STR_25730	STR length	0.2	V	17762580	Local eQTL	0.16	0.55	Moderate LD	2
F09E10.1.1	STR_27707	STR genotype	0.28	X	1519697	Local eQTL	0.28	1	High LD	2
F09E10.1.1	STR_27707	STR length	0.28	X	1519697	Local eQTL	0.28	1	High LD	2
F09E8.2a.1	STR_20124	STR genotype	0.32	IV	12855364	Local eQTL	0.36	0.68	Moderate LD	2
F09E8.2a.1	STR_20124	STR length	0.32	IV	12855364	Local eQTL	0.36	0.68	Moderate LD	2
F09G8.7.2	STR_13609	STR genotype	0.49	III	8353285	Local eQTL	0.6	0.81	High LD	2
F09G8.7.2	STR_13750	STR length	0.06	III	8353285	Local eQTL	0.55	0.66	Moderate LD	3
F10B5.2.2	STR_8010	STR genotype	0.01	II	8147200	Local eQTL	0.25	0.89	High LD	4
F10B5.2.2	STR_8010	STR length	0.14	II	8147200	Local eQTL	0.25	0.9	High LD	4
F10B5.8.1	STR_8107	STR genotype	0.17	II	8094901	Local eQTL	0.32	0.78	High LD	3
F10B5.8.1	STR_8107	STR length	0.09	II	8094901	Local eQTL	0.32	0.78	High LD	3
F10C1.8.1	STR_7638	STR genotype	0.2	II	5751901	Local eQTL	0.25	0.02	Low LD	2
F10C1.8.1	STR_7638	STR length	0.2	II	5751901	Local eQTL	0.25	0.02	Low LD	2
F10C1.8.2	STR_7647	STR genotype	0.77	II	5747196	Local eQTL	0.77	0.95	High LD	2
F10C1.8.2	STR_7647	STR length	0.77	II	5747196	Local eQTL	0.77	0.95	High LD	2
F10C1.9b.1	STR_7726	STR genotype	0.3	II	5697717	Local eQTL	0.3	1	High LD	2
F10C1.9b.1	STR_7726	STR length	0.3	II	5697717	Local eQTL	0.3	1	High LD	2
F10C5.2.1	STR_10925	STR genotype	0.17	III	519173	Local eQTL	0.17	1	High LD	2
F10C5.2.1	STR_10924	STR length	0.16	III	519173	Local eQTL	0.18	0.86	High LD	2
F10D2.8b.1	STR_23817	STR genotype	0.77	V	7598251	Local eQTL	0.59	0.58	Moderate LD	2
F10D2.8b.1	STR_23817	STR length	0.82	V	7598251	Local eQTL	0.58	0.6	Moderate LD	2
F10E7.11.1	STR_7903	STR genotype	0.98	II	7389588	Local eQTL	0.98	1	High LD	2
F10E7.11.1	STR_7903	STR length	0.98	II	7389588	Local eQTL	0.98	1	High LD	2
F10E7.2.1	STR_8029	STR genotype	0.68	II	6882120	Local eQTL	0.79	0.77	High LD	2
F10E7.2.1	STR_8029	STR length	0.68	II	6882120	Local eQTL	0.79	0.77	High LD	2
F10E9.4.1	STR_13553	STR genotype	0.2	III	8249676	Local eQTL	0.22	0.79	High LD	2
F10E9.4.1	STR_13553	STR length	0.2	III	8249676	Local eQTL	0.22	0.79	High LD	2
F10G7.2.2	STR_7311	STR genotype	0.1	II	4784426	Local eQTL	0.2	0.73	High LD	3
F10G7.2.2	STR_7455	STR length	0.19	II	4784426	Local eQTL	0.19	0.81	High LD	3
F11A5.12.1	STR_25430	STR genotype	0.41	V	15994868	Local eQTL	0.41	0.93	High LD	2
F11A5.12.1	STR_25432	STR length	0.39	V	15994868	Local eQTL	0.4	0.93	High LD	2
F11A6.1a.1	STR_4395	STR genotype	0.61	I	11584708	Local eQTL	0.76	0.61	Moderate LD	2
F11A6.1a.1	STR_4395	STR length	0.61	I	11584708	Local eQTL	0.76	0.61	Moderate LD	2
F11A6.1a.2	STR_4395	STR genotype	0.51	I	11834253	Local eQTL	0.64	0.8	High LD	2
F11A6.1a.2	STR_4395	STR length	0.51	I	11834253	Local eQTL	0.64	0.8	High LD	2
F11C3.1.1	STR_5687	STR genotype	0.46	I	14878001	Local eQTL	0.47	0.94	High LD	2
F11C3.1.1	STR_5687	STR length	0.46	I	14878001	Local eQTL	0.47	0.94	High LD	2
F11C3.2.1	STR_5203	STR genotype	0.16	I	13989722	Local eQTL	0.16	0.96	High LD	2
F11C3.2.1	STR_5203	STR length	0.16	I	13989722	Local eQTL	0.16	0.96	High LD	2
F11D5.5.1	STR_28329	STR genotype	0.19	X	3299631	Local eQTL	0.19	1	High LD	2
F11D5.5.1	STR_28329	STR length	0.18	X	3299631	Local eQTL	0.19	0.9	High LD	2
F11E6.11a.1	STR_21654	STR genotype	0.16	IV	17383084	Local eQTL	0.2	0.44	Moderate LD	3
F11E6.11a.1	STR_21579	STR length	0.01	IV	17383084	Local eQTL	0.22	0.22	Low LD	4
F11E6.9.1	STR_21652	STR genotype	0.39	IV	17417835	Local eQTL	0.4	0.65	Moderate LD	2
F11E6.9.1	STR_21652	STR length	0.39	IV	17417835	Local eQTL	0.4	0.65	Moderate LD	2
F11F1.1a.1	STR_15960	STR genotype	0.38	III	12725522	Local eQTL	0.35	0.71	High LD	2
F11F1.1a.1	STR_15960	STR length	0.41	III	12725522	Local eQTL	0.35	0.71	High LD	2
F11F1.1b.1	STR_16055	STR genotype	0.88	III	13061998	Local eQTL	0.83	0.88	High LD	2
F11F1.1b.1	STR_15960	STR length	0.87	III	13061998	Local eQTL	0.83	0.84	High LD	2
F11G11.8.1	STR_7409	STR genotype	0.92	II	4837879	Local eQTL	0.86	0.92	High LD	2
F11G11.8.1	STR_7409	STR length	0.92	II	4837879	Local eQTL	0.86	0.92	High LD	2
F11H8.3.2	STR_13341	STR genotype	0.25	III	7010237	Local eQTL	0.27	0.94	High LD	2
F11H8.3.2	STR_13341	STR length	0.25	III	7010237	Local eQTL	0.27	0.94	High LD	2
F12E12.1.1	STR_7020	STR genotype	0.32	II	3813553	Local eQTL	0.57	0.55	Moderate LD	2
F12E12.1.1	STR_6964	STR length	0.19	II	3813553	Local eQTL	0.57	0.09	Low LD	3
F12F6.8	STR_19785	STR genotype	0.24	IV	11530963	Local eQTL	0.25	0.94	High LD	2
F12F6.8	STR_19785	STR length	0.24	IV	11530963	Local eQTL	0.25	0.94	High LD	2
F13A7.9	STR_25432	STR genotype	0.64	V	16380356	Local eQTL	0.69	0.54	Moderate LD	3
F13A7.9	STR_25432	STR length	0.19	V	16380356	Local eQTL	0.69	0.56	Moderate LD	3
F13B9.1a.1	STR_29385	STR genotype	0.27	X	8323953	Local eQTL	0.29	0.87	High LD	2
F13B9.1a.1	STR_29520	STR length	0.2	X	8323953	Local eQTL	0.26	0.73	High LD	3
F13D2.2.1	STR_30171	STR genotype	0.34	X	11573458	Local eQTL	0.41	0.7	High LD	2
F13D2.2.1	STR_30171	STR length	0.34	X	11573458	Local eQTL	0.41	0.7	High LD	2
F13G11.2.1	STR_20826	STR genotype	0.01	IV	14169334	Local eQTL	0.22	0.26	Low LD	3
F13G11.2.1	STR_20698	STR length	0	IV	14169334	Local eQTL	0.2	0.56	Moderate LD	3
F13G11.3.1	STR_20688	STR genotype	0.13	IV	14340161	Local eQTL	0.48	0.11	Low LD	3
F13G11.3.1	STR_20688	STR length	0.3	IV	14340161	Local eQTL	0.48	0.11	Low LD	3
F13H6.4	STR_23733	STR genotype	0.17	V	6618053	Local eQTL	0.2	0.7	High LD	2
F13H6.4	STR_23733	STR length	0.17	V	6618053	Local eQTL	0.2	0.7	High LD	2
F14B6.4.1	STR_4569	STR genotype	0.39	I	12231088	Local eQTL	0.43	0.82	High LD	3
F14B6.4.1	STR_4569	STR length	0.39	I	12231088	Local eQTL	0.41	0.76	High LD	2
F14B8.5a.1	STR_29077	STR genotype	0.33	X	7054469	Local eQTL	0.31	0.9	High LD	2
F14B8.5a.1	STR_29077	STR length	0.33	X	7054469	Local eQTL	0.31	0.9	High LD	2
F14B8.5a.2	STR_29077	STR genotype	0.18	X	7054469	Local eQTL	0.18	0.9	High LD	2
F14B8.5a.2	STR_29077	STR length	0.18	X	7054469	Local eQTL	0.18	0.9	High LD	2
F14B8.7.1	STR_29315	STR genotype	0.23	X	6358428	Local eQTL	0.23	1	High LD	2
F14B8.7.1	STR_29315	STR length	0.23	X	6358428	Local eQTL	0.23	1	High LD	2
F14D2.1.1	STR_6968	STR genotype	0.38	II	3381332	Local eQTL	0.64	0.01	Low LD	3
F14D2.1.1	STR_6970	STR length	0.55	II	3381332	Local eQTL	0.63	0	Low LD	3
F14D2.1.2	STR_6968	STR genotype	0.44	II	3408871	Local eQTL	0.69	0.01	Low LD	3
F14D2.1.2	STR_6970	STR length	0.53	II	3408871	Local eQTL	0.67	0	Low LD	3
F14D2.13a.1	STR_6972	STR genotype	0.76	II	3248821	Local eQTL	0.76	1	High LD	2
F14D2.13a.1	STR_6964	STR length	0.1	II	3248821	Local eQTL	0.75	0.49	Moderate LD	3
F14D2.14.2	STR_7035	STR genotype	0.56	II	3381332	Local eQTL	0.46	0.4	Moderate LD	2
F14D2.14.2	STR_6970	STR length	0.52	II	3381332	Local eQTL	0.46	0.01	Low LD	3
F14D2.4a.1	STR_7035	STR genotype	0.57	II	3381332	Local eQTL	0.51	0.4	Moderate LD	2
F14D2.4a.1	STR_6970	STR length	0.54	II	3381332	Local eQTL	0.52	0.01	Low LD	3
F14D2.4b.1	STR_7031	STR genotype	0.43	II	3512758	Local eQTL	0.53	0.7	High LD	2
F14D2.4b.1	STR_7031	STR length	0.43	II	3512758	Local eQTL	0.53	0.7	High LD	2
F14D7.7.1	STR_24991	STR genotype	0.5	V	14114354	Local eQTL	0.49	0.93	High LD	2
F14D7.7.1	STR_24991	STR length	0.5	V	14114354	Local eQTL	0.49	0.93	High LD	2
F14F4.1.1	STR_31234	STR genotype	0.14	X	14900913	Local eQTL	0.2	0.36	Moderate LD	2
F14F4.1.1	STR_31234	STR length	0.14	X	14900913	Local eQTL	0.2	0.36	Moderate LD	2
F14F8.8.1	STR_25367	STR genotype	0.2	V	16088951	Local eQTL	0.22	0.38	Moderate LD	3
F14F8.8.1	STR_25367	STR length	0.02	V	16088951	Local eQTL	0.22	0.38	Moderate LD	3
F14H12.4a.2	STR_28677	STR genotype	0.42	X	4294769	Local eQTL	0.47	0.95	High LD	3
F14H12.4a.2	STR_28674	STR length	0.38	X	4294769	Local eQTL	0.5	0.92	High LD	3
F14H12.4b.1	STR_28674	STR genotype	0.42	X	4294769	Local eQTL	0.44	0.9	High LD	3
F14H12.4b.1	STR_28674	STR length	0.4	X	4294769	Local eQTL	0.44	0.92	High LD	3
F14H3.11.1	STR_25430	STR genotype	0.17	V	16176852	Local eQTL	0.23	0.96	High LD	3
F14H3.11.1	STR_25432	STR length	0.22	V	16176852	Local eQTL	0.23	0.7	High LD	3
F14H3.15.1	STR_25398	STR genotype	0.76	V	15957387	Local eQTL	0.8	0.92	High LD	2
F14H3.15.1	STR_25429	STR length	0.02	V	15957387	Local eQTL	0.83	0.33	Moderate LD	4
F14H3.3.2	STR_25398	STR genotype	0.38	V	15829772	Local eQTL	0.41	0.8	High LD	2
F14H3.3.2	STR_25278	STR length	0.21	V	15829772	Local eQTL	0.41	0.22	Low LD	3
F14H3.4.1	STR_25410	STR genotype	0.28	V	16060917	Local eQTL	0.57	0.67	Moderate LD	3
F14H3.4.1	STR_25367	STR length	0.25	V	16060917	Local eQTL	0.57	0.6	Moderate LD	3
F14H3.5.1	STR_25429	STR genotype	0.15	V	16129757	Local eQTL	0.54	0.95	High LD	4
F14H3.5.1	STR_25429	STR length	0.47	V	16129757	Local eQTL	0.54	0.95	High LD	4
F14H3.7.1	STR_25430	STR genotype	0.2	V	15913269	Local eQTL	0.85	0.33	Moderate LD	3
F14H3.7.1	STR_25429	STR length	0.04	V	15913269	Local eQTL	0.86	0.33	Moderate LD	4
F14H3.9	STR_25430	STR genotype	0.25	V	16068009	Local eQTL	0.7	0.56	Moderate LD	3
F14H3.9	STR_25429	STR length	0.07	V	16068009	Local eQTL	0.71	0.6	Moderate LD	4
F15A4.9.1	STR_9389	STR genotype	0.04	II	12458240	Local eQTL	0.62	0.02	Low LD	3
F15A4.9.1	STR_9255	STR length	0.31	II	12458240	Local eQTL	0.61	0.28	Low LD	3
F15B10.2b.1	STR_18939	STR genotype	0.24	IV	6103093	Local eQTL	0.25	0.85	High LD	2
F15B10.2b.1	STR_18939	STR length	0.24	IV	6103093	Local eQTL	0.25	0.85	High LD	2
F15B9.10b.1	STR_24850	STR genotype	0.27	V	13571248	Local eQTL	0.27	1	High LD	2
F15B9.10b.1	STR_24850	STR length	0.27	V	13571248	Local eQTL	0.27	1	High LD	2
F15D4.1.2	STR_9589	STR genotype	0.08	II	13215714	Local eQTL	0.25	0.23	Low LD	3
F15D4.6.1	STR_9628	STR genotype	0	II	13264654	Local eQTL	0.23	0.49	Moderate LD	4
F15D4.6.1	STR_9628	STR length	0.22	II	13264654	Local eQTL	0.23	0.49	Moderate LD	2
F15E11.1.1	STR_22487	STR genotype	0.62	V	2314916	Local eQTL	0.66	0.93	High LD	2
F15E11.1.1	STR_22487	STR length	0.61	V	2314916	Local eQTL	0.64	0.91	High LD	2
F15E11.12a.1	STR_22487	STR genotype	0.64	V	2314916	Local eQTL	0.69	0.93	High LD	2
F15E11.12a.1	STR_22487	STR length	0.64	V	2314916	Local eQTL	0.7	0.91	High LD	2
F15E11.12b.2	STR_22487	STR genotype	0.32	V	2314916	Local eQTL	0.35	0.93	High LD	2
F15E11.12b.2	STR_22487	STR length	0.33	V	2314916	Local eQTL	0.35	0.91	High LD	2
F15E11.13.1	STR_22487	STR genotype	0.62	V	2314916	Local eQTL	0.66	0.93	High LD	2
F15E11.13.1	STR_22487	STR length	0.6	V	2314916	Local eQTL	0.64	0.91	High LD	2
F15E11.14.1	STR_22487	STR genotype	0.62	V	2314916	Local eQTL	0.66	0.93	High LD	2
F15E11.14.1	STR_22487	STR length	0.61	V	2314916	Local eQTL	0.64	0.91	High LD	2
F15E11.15.1	STR_22487	STR genotype	0.73	V	2314916	Local eQTL	0.79	0.93	High LD	2
F15E11.15.1	STR_22487	STR length	0.73	V	2314916	Local eQTL	0.79	0.91	High LD	2
F15H9.1.1	STR_4510	STR genotype	0.3	I	12121918	Local eQTL	0.31	0.69	Moderate LD	3
F15H9.1.1	STR_4510	STR length	0.28	I	12121918	Local eQTL	0.29	0.64	Moderate LD	2
F15H9.8	STR_4546	STR genotype	0.67	I	12101828	Local eQTL	0.79	0.83	High LD	2
F15H9.8	STR_4546	STR length	0.67	I	12101828	Local eQTL	0.79	0.83	High LD	2
F16B4.2a.1	STR_22451	STR genotype	0.18	V	2175865	Local eQTL	0.18	0.78	High LD	2
F16B4.2a.1	STR_22451	STR length	0.18	V	2175865	Local eQTL	0.18	0.78	High LD	2
F16B4.5a.1	STR_22295	STR genotype	0.29	V	1623973	Local eQTL	0.33	0.65	Moderate LD	4
F16B4.5a.1	STR_22327	STR length	0.25	V	1623973	Local eQTL	0.31	0.64	Moderate LD	2
F16D3.2.1	STR_3303	STR genotype	0.77	I	8318265	Local eQTL	0.79	0.89	High LD	2
F16D3.2.1	STR_3303	STR length	0.77	I	8318265	Local eQTL	0.79	0.89	High LD	2
F16D3.2.2	STR_3404	STR genotype	0.06	I	8318265	Local eQTL	0.84	0.43	Moderate LD	3
F16D3.2.2	STR_3404	STR length	0.73	I	8318265	Local eQTL	0.79	0.44	Moderate LD	3
F16G10.15	STR_6547	STR genotype	0.29	II	2663828	Local eQTL	0.3	0.32	Moderate LD	2
F16G10.15	STR_6552	STR length	0.2	II	2663828	Local eQTL	0.33	0.2	Low LD	3
F16H6.1.1	STR_26066	STR genotype	0.27	V	18109630	Local eQTL	0.35	0.43	Moderate LD	2
F16H6.1.1	STR_25987	STR length	0.2	V	18109630	Local eQTL	0.34	0.37	Moderate LD	2
F17B5.1a.1	STR_4927	STR length	0.15	I	13463537	Local eQTL	0.15	0.62	Moderate LD	2
F17E5.2.1	STR_30412	STR genotype	0.16	X	12848796	Local eQTL	0.22	0.81	High LD	2
F17E5.2.1	STR_30412	STR length	0.16	X	12848796	Local eQTL	0.22	0.81	High LD	2
F18A11.6	STR_9485	STR genotype	0.62	II	13072177	Local eQTL	0.55	0.15	Low LD	4
F18A11.6	STR_9485	STR length	0.11	II	13072177	Local eQTL	0.55	0.15	Low LD	3
F18A11.7	STR_9557	STR genotype	0.27	II	13018346	Local eQTL	0.31	0.78	High LD	2
F18A11.7	STR_9557	STR length	0.27	II	13018346	Local eQTL	0.31	0.78	High LD	2
F18A12.3	STR_7199	STR genotype	0.07	II	4279365	Local eQTL	0.16	0.22	Low LD	3
F18A12.4a.1	STR_6957	STR genotype	0.12	II	3491257	Local eQTL	0.3	0.12	Low LD	3
F18A12.4a.1	STR_6957	STR length	0.29	II	3491257	Local eQTL	0.3	0.12	Low LD	3
F18A12.4b.1	STR_6739	STR genotype	0.32	II	3399258	Local eQTL	0.46	0.73	High LD	2
F18A12.4b.1	STR_6739	STR length	0.32	II	3399258	Local eQTL	0.46	0.73	High LD	2
F18A12.4d.1	STR_6739	STR genotype	0.29	II	3399258	Local eQTL	0.38	0.73	High LD	2
F18A12.4d.1	STR_6739	STR length	0.29	II	3399258	Local eQTL	0.38	0.73	High LD	2
F18A12.6.1	STR_7086	STR genotype	0.5	II	3402871	Local eQTL	0.54	0.9	High LD	2
F18A12.6.1	STR_7086	STR length	0.49	II	3402871	Local eQTL	0.54	0.9	High LD	2
F18A12.7.1	STR_7007	STR genotype	0.25	II	3434788	Local eQTL	0.33	0.17	Low LD	2
F18A12.7.1	STR_7007	STR length	0.25	II	3434788	Local eQTL	0.33	0.17	Low LD	2
F18H3.4.1	STR_30433	STR genotype	0.13	X	12826915	Local eQTL	0.15	0.21	Low LD	3
F18H3.4.1	STR_30551	STR length	0.01	X	12826915	Local eQTL	0.15	0.03	Low LD	4
F19B10.4.1	STR_7221	STR genotype	0.12	II	3668337	Local eQTL	0.31	0.49	Moderate LD	3
F19B10.4.1	STR_7221	STR length	0.31	II	3668337	Local eQTL	0.32	0.49	Moderate LD	2
F19B2.12	STR_27097	STR genotype	0.11	V	20065063	Local eQTL	0.73	0.14	Low LD	3
F19B2.12	STR_27156	STR length	0.63	V	20065063	Local eQTL	0.69	0.7	High LD	2
F19B2.5.1	STR_27097	STR genotype	0.98	V	20101525	Local eQTL	0.98	1	High LD	2
F19B2.5.1	STR_26891	STR length	0.94	V	20101525	Local eQTL	0.97	0.97	High LD	2
F19B2.5.2	STR_27157	STR genotype	0.4	V	20204149	Local eQTL	0.53	0.75	High LD	2
F19B2.5.2	STR_27157	STR length	0.4	V	20204149	Local eQTL	0.53	0.75	High LD	2
F19C6.5.1	STR_29797	STR genotype	0.16	X	9984533	Local eQTL	0.23	0.51	Moderate LD	2
F19C6.5.1	STR_29959	STR length	0.16	X	9984533	Local eQTL	0.23	0.67	Moderate LD	2
F19C7.3.1	STR_18269	STR genotype	0.78	IV	4726162	Local eQTL	0.79	0.9	High LD	3
F19C7.3.1	STR_18282	STR length	0.81	IV	4726162	Local eQTL	0.75	0.43	Moderate LD	3
F19G12.3.1	STR_27727	STR genotype	0.06	X	892958	Local eQTL	0.38	0.79	High LD	3
F19G12.3.1	STR_27727	STR length	0.38	X	892958	Local eQTL	0.38	0.78	High LD	2
F19H6.3.1	STR_30310	STR genotype	0.27	X	12373882	Local eQTL	0.35	0.04	Low LD	3
F19H6.3.1	STR_30321	STR length	0.15	X	12373882	Local eQTL	0.23	0.31	Moderate LD	2
F19H8.5.1	STR_10341	STR genotype	0.17	II	14517714	Local eQTL	0.16	0.69	Moderate LD	2
F19H8.5.1	STR_10357	STR length	0.01	II	14517714	Local eQTL	0.18	0.7	High LD	3
F20B6.9.2	STR_28614	STR genotype	0.56	X	4294769	Local eQTL	0.58	0.95	High LD	2
F20B6.9.2	STR_28619	STR length	0.56	X	4294769	Local eQTL	0.6	0.93	High LD	2
F20C5.1b.1	STR_19300	STR genotype	0.6	IV	8752110	Local eQTL	0.6	1	High LD	2
F20C5.1b.1	STR_19275	STR length	0.59	IV	8752110	Local eQTL	0.59	1	High LD	2
F20C5.1f.1	STR_19300	STR genotype	0.33	IV	8752110	Local eQTL	0.33	1	High LD	2
F20C5.1f.1	STR_19275	STR length	0.32	IV	8752110	Local eQTL	0.32	1	High LD	2
F20C5.1i.1	STR_19300	STR genotype	0.79	IV	8752110	Local eQTL	0.79	1	High LD	2
F20C5.1i.1	STR_19275	STR length	0.79	IV	8752110	Local eQTL	0.79	1	High LD	2
F20D1.22.1	STR_31020	STR genotype	0.53	X	14948555	Local eQTL	0.54	0.81	High LD	2
F20D1.22.1	STR_31020	STR length	0.52	X	14948555	Local eQTL	0.54	0.77	High LD	2
F20D1.4.1	STR_31138	STR genotype	0.15	X	15088925	Local eQTL	0.21	0.12	Low LD	3
F20D1.4.1	STR_31138	STR length	0.15	X	15088925	Local eQTL	0.21	0.12	Low LD	3
F20D1.6.1	STR_31011	STR genotype	0.16	X	14948555	Local eQTL	0.16	0.74	High LD	2
F20D1.6.1	STR_31011	STR length	0.16	X	14948555	Local eQTL	0.16	0.74	High LD	2
F20G2.7	STR_24851	STR genotype	0.27	V	13594389	Local eQTL	0.27	1	High LD	2
F20G2.7	STR_24882	STR length	0.24	V	13594389	Local eQTL	0.26	0.82	High LD	2
F20H11.5.1	STR_13348	STR genotype	0.21	III	6898616	Local eQTL	0.56	0.2	Low LD	3
F20H11.5.1	STR_13348	STR length	0.56	III	6898616	Local eQTL	0.56	0.2	Low LD	2
F21A3.5.2	STR_25177	STR genotype	0.15	V	14995985	Local eQTL	0.17	0.86	High LD	2
F21A3.5.2	STR_25177	STR length	0.15	V	14995985	Local eQTL	0.17	0.86	High LD	2
F21D12.1c.2	STR_7863	STR genotype	0.35	II	7210525	Local eQTL	0.38	0.92	High LD	2
F21D12.1c.2	STR_7863	STR length	0.35	II	7210525	Local eQTL	0.38	0.92	High LD	2
F21D9.4a.1	STR_26613	STR genotype	0.19	V	19205287	Local eQTL	0.23	0.62	Moderate LD	2
F21D9.4a.1	STR_26613	STR length	0.19	V	19205287	Local eQTL	0.23	0.62	Moderate LD	2
F21D9.5	STR_26483	STR genotype	0.29	V	19218935	Local eQTL	0.25	0.8	High LD	2
F21D9.5	STR_26483	STR length	0.3	V	19218935	Local eQTL	0.26	0.8	High LD	2
F22B3.4.2	STR_19732	STR length	0.15	IV	11868913	Local eQTL	0.14	0.65	Moderate LD	2
